method,target_seed,client_parameters,server_parameters,spatial_payload_elements,semantic_payload_elements,total_payload_elements,transmitted_bytes_per_sample_fp32,client_latency_ms_per_sample_mean,server_latency_ms_per_sample_mean,end_to_end_latency_ms_per_sample_mean,checkpoint_file_bytes,total_model_state_bytes
dual_path,126,20089920,10101927,4096,256,4352,17408,0.10200621200984661,0.02605535872670397,0.12806761632536226,53542194,120887460
dual_path,127,20089920,10101927,4096,256,4352,17408,0.10276489177106617,0.026164340740139666,0.12893428841137147,53542194,120887460
dual_path,128,20089920,10101927,4096,256,4352,17408,0.09919167058723287,0.02514527067386506,0.12434224843853553,53542194,120887460
dual_path,129,20089920,10101927,4096,256,4352,17408,0.0992389521960539,0.025083014341296735,0.12432802644865545,53542194,120887460
dual_path,130,20089920,10101927,4096,256,4352,17408,0.09755017404008745,0.02483126193622523,0.12238687921743512,53542194,120887460
one_stage,126,20089920,10101927,4096,256,4352,17408,0.10224833966129006,0.026075013131168938,0.12832894933123495,53542258,120887460
one_stage,127,20089920,10101927,4096,256,4352,17408,0.10084816531926517,0.025477524940396432,0.12633154059935245,53542258,120887460
one_stage,128,20089920,10101927,4096,256,4352,17408,0.10095850201003748,0.02582077117963322,0.12678508996272525,53542258,120887460
one_stage,129,20089920,10101927,4096,256,4352,17408,0.09891063930811472,0.025289298347699146,0.12420561253130764,53542258,120887460
one_stage,130,20089920,10101927,4096,256,4352,17408,0.09824661875036846,0.02491660548863316,0.1231697397497965,53542258,120887460
resnet18,126,28179792,10101927,4096,256,4352,17408,0.086073184978635,0.02546748687741633,0.11154550375286126,85775562,153187540
resnet18,127,28179792,10101927,4096,256,4352,17408,0.08716561306310278,0.025934072145791905,0.11310501555250062,85775562,153187540
resnet18,128,28179792,10101927,4096,256,4352,17408,0.08703921360341103,0.025998478163314798,0.1130425506260934,85775562,153187540
