attack,attacker_seed,identity_cosine_similarity,knowledge,lpips,mae,mse,path,psnr,ssim,target_seed
decoder,10125,0.35339289118536893,training,0.32566476108385295,0.11798822666213678,0.026567775054603116,results/dual_path_publication/attacks/target_seed126/attacker_seed10125/decoder_training/attack_metrics.json,16.532818113075503,0.5426849705491877,126
decoder,20125,0.3479384671995522,training,0.32307271521075875,0.11945356481215534,0.02682657318819216,results/dual_path_publication/attacks/target_seed126/attacker_seed20125/decoder_training/attack_metrics.json,16.523549911692616,0.5356594709009905,126
decoder,30125,0.3754970452273089,training,0.2972739272830762,0.11787285956911105,0.027111757704497575,results/dual_path_publication/attacks/target_seed126/attacker_seed30125/decoder_training/attack_metrics.json,16.500473450716072,0.5508948115283184,126
decoder,10125,0.09189316894202344,inference,0.5256756201810888,0.14786981343305322,0.03669957842984688,results/dual_path_publication/attacks/target_seed126/attacker_seed10125/decoder_inference/attack_metrics.json,14.919376646398673,0.45404092085370656,126
decoder,20125,0.08021550916359,inference,0.5345674475125848,0.1495749845791083,0.036675448046912584,results/dual_path_publication/attacks/target_seed126/attacker_seed20125/decoder_inference/attack_metrics.json,14.906908559468823,0.4475812493515896,126
decoder,30125,0.041509570297229466,inference,0.5741471488077518,0.15160968213745776,0.037789528327689344,results/dual_path_publication/attacks/target_seed126/attacker_seed30125/decoder_inference/attack_metrics.json,14.751080872004907,0.44074810753426613,126
gan,10125,0.19003854683388752,training,0.33032932772814244,0.12979778053667948,0.03041331886282704,results/dual_path_publication/attacks/target_seed126/attacker_seed10125/gan_training/attack_metrics.json,15.78416829239355,0.4606101623089302,126
gan,20125,0.27361953923079835,training,0.2670439952247558,0.1248059112537095,0.029503450463341546,results/dual_path_publication/attacks/target_seed126/attacker_seed20125/gan_training/attack_metrics.json,16.001028262867646,0.49764490065231826,126
gan,30125,0.19554092894146782,training,0.3815439613632677,0.13373826308142264,0.03298983359419352,results/dual_path_publication/attacks/target_seed126/attacker_seed30125/gan_training/attack_metrics.json,15.377331679071752,0.44273881981896235,126
gan,10125,0.08358738438912407,inference,0.45524713458970845,0.1567212736909439,0.04157021194352289,results/dual_path_publication/attacks/target_seed126/attacker_seed10125/gan_inference/attack_metrics.json,14.367140513736528,0.4170366423785274,126
gan,20125,0.08256776118113317,inference,0.5174395096494749,0.15788602792271475,0.04179142033530714,results/dual_path_publication/attacks/target_seed126/attacker_seed20125/gan_inference/attack_metrics.json,14.257288697134817,0.3889517545516534,126
gan,30125,0.06202250943907047,inference,0.5416280615779415,0.15402934402571541,0.039861693760355775,results/dual_path_publication/attacks/target_seed126/attacker_seed30125/gan_inference/attack_metrics.json,14.51083258907092,0.41538005356058144,126
adaptive,10125,0.3084767108053393,training,0.37166117045201963,0.11833041908648416,0.026493127618281487,results/dual_path_publication/attacks/target_seed126/attacker_seed10125/adaptive_training/attack_metrics.json,16.510685512332998,0.5296948589484813,126
adaptive,10125,0.08479343587568487,inference,0.5292226425769972,0.1498419664014386,0.037896684906499216,results/dual_path_publication/attacks/target_seed126/attacker_seed10125/adaptive_inference/attack_metrics.json,14.787338667965743,0.45003026150298914,126
decoder,10125,0.3417555026208745,training,0.3416221721316246,0.11731468928130669,0.026346212128225268,results/dual_path_publication/attacks/target_seed127/attacker_seed10125/decoder_training/attack_metrics.json,16.540242841545318,0.539209461908806,127
decoder,20125,0.3103761296783764,training,0.37376321912132654,0.11787261801561637,0.02595444594562535,results/dual_path_publication/attacks/target_seed127/attacker_seed20125/decoder_training/attack_metrics.json,16.578402575031237,0.5316223613851944,127
decoder,30125,0.27660732657943304,training,0.40171975059171955,0.12095734238028755,0.026793134565401056,results/dual_path_publication/attacks/target_seed127/attacker_seed30125/decoder_training/attack_metrics.json,16.390100674920703,0.5192074826661095,127
decoder,10125,0.09311775137040136,inference,0.510333266049004,0.1493813350991711,0.036911591463037595,results/dual_path_publication/attacks/target_seed127/attacker_seed10125/decoder_inference/attack_metrics.json,14.820026635573036,0.4563897994043646,127
decoder,20125,0.08531730922026483,inference,0.5207888608349571,0.14900348918817885,0.036680028106360556,results/dual_path_publication/attacks/target_seed127/attacker_seed20125/decoder_inference/attack_metrics.json,14.834379623448326,0.4556977857159504,127
decoder,30125,0.0504698191724253,inference,0.5770129643558447,0.1531325421762797,0.03800255743882764,results/dual_path_publication/attacks/target_seed127/attacker_seed30125/decoder_inference/attack_metrics.json,14.685888371162912,0.4350071144250836,127
gan,10125,0.2865379823349568,training,0.31192026163971637,0.1266914417541105,0.02915735402413397,results/dual_path_publication/attacks/target_seed127/attacker_seed10125/gan_training/attack_metrics.json,16.007729317600198,0.48619535945553544,127
gan,20125,0.1683392475953885,training,0.4144777197509672,0.1335934584345189,0.03221148879928618,results/dual_path_publication/attacks/target_seed127/attacker_seed20125/gan_training/attack_metrics.json,15.523923509737841,0.47614228961010346,127
gan,30125,0.22052925282925287,training,0.44615636911359213,0.13110183751019366,0.0316057323996996,results/dual_path_publication/attacks/target_seed127/attacker_seed30125/gan_training/attack_metrics.json,15.611405713097126,0.47671349220026554,127
gan,10125,0.06416146070613964,inference,0.5271251405359141,0.15316207304287177,0.03929810527657618,results/dual_path_publication/attacks/target_seed127/attacker_seed10125/gan_inference/attack_metrics.json,14.518730979960546,0.4035533643668206,127
gan,20125,0.09707204041983919,inference,0.4487050550547446,0.15595236404571652,0.04164906517187387,results/dual_path_publication/attacks/target_seed127/attacker_seed20125/gan_inference/attack_metrics.json,14.287907201753754,0.40959845257319333,127
gan,30125,0.08524497680429131,inference,0.497344077964119,0.15739880826860506,0.041224862539924224,results/dual_path_publication/attacks/target_seed127/attacker_seed30125/gan_inference/attack_metrics.json,14.291470639975463,0.4115886908480532,127
adaptive,10125,0.3373276795207973,training,0.3391350910050372,0.11935643669459876,0.026789848220572936,results/dual_path_publication/attacks/target_seed127/attacker_seed10125/adaptive_training/attack_metrics.json,16.483269486946128,0.534516509575644,127
